,country,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_crops,sugar_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,confirmed,deaths,recovered,active,population
0,Afghanistan,0.0,1.39065,4.83625,0.0,1.7958,0.1533,0.007300000000000001,0.09490000000000001,1.36875,1.85055,0.0036500000000000005,0.06935000000000001,0.23360000000000003,0.0438,0.06205000000000001,0.01095,0.0219,0.0,0.0,0.1679,3.8179000000000003,0.0803,6.34005,0.132362309905466,0.0056283394985614,0.1071901972873,0.0,38928000.0
1,Albania,0.0,2.9345999999999997,27.480850000000004,0.0,2.29585,1.41255,0.12410000000000002,0.55115,7.508050000000001,15.249699999999999,0.014600000000000002,0.25184999999999996,2.7156000000000002,0.09855,0.0,0.0438,0.4526,0.0,0.0,0.7884,7.93875,0.55845,15.457749999999999,2.05482734319944,0.0416138125440451,1.18513037350247,0.828083157152925,2838000.0
2,Algeria,0.0,0.5219499999999999,8.3877,0.0,2.4455,0.7081,0.11680000000000001,0.3358,2.2666500000000003,4.7085,0.025550000000000003,0.06205000000000001,0.69715,0.15695,0.09125,0.0657,0.1679,0.0,0.0,0.50005,15.917649999999998,0.2993,20.7028,0.225211353337692,0.0062267511328538,0.151937687399959,0.0670469148048786,44357000.0
3,Angola,0.0,0.46720000000000006,5.445799999999999,0.0,2.33235,0.05474999999999999,0.5036999999999999,0.12410000000000002,3.9237499999999996,0.43799999999999994,0.01095,0.05474999999999999,1.41985,0.11680000000000001,0.0036500000000000005,0.25184999999999996,0.04015,0.0,0.0,0.01095,7.9935,0.0438,12.347949999999999,0.0540188180308714,0.0012453108664903,0.0342721849824734,0.0185013221819076,32522000.0
4,Antigua and Barbuda,0.0,3.0368000000000004,18.020049999999998,0.0,2.0914500000000005,0.25184999999999996,0.9928000000000001,0.79205,9.3148,4.3325499999999995,0.05840000000000001,0.0876,0.8833,0.0438,0.23360000000000003,0.029200000000000004,0.6862,0.0,0.0,0.1314,9.3951,0.1606,14.505100000000002,0.162244897959184,0.0051020408163265,0.151020408163265,0.0061224489795918,98000.0
5,Argentina,0.0,2.82875,25.96245,0.0,1.1388,1.3432,0.14235,0.17884999999999998,16.47975,5.004150000000001,0.0,0.1606,0.05474999999999999,0.018250000000000002,0.018250000000000002,0.09490000000000001,0.2117,0.0,0.0,0.11680000000000001,14.808050000000001,0.1606,16.80095,3.5912334442559,0.0954646627145911,3.14405095092227,0.351717830619036,45377000.0
6,Armenia,0.0,4.4311,20.99115,0.0,1.7739000000000003,1.1461,0.15695,0.38689999999999997,7.65405,7.4095,0.025550000000000003,0.19344999999999998,0.46720000000000006,0.05474999999999999,0.007300000000000001,0.04015,1.27385,0.0,0.0,0.67525,9.066600000000001,0.61685,14.39195,5.40385656292287,0.0956698240866035,4.84962787550744,0.458558863328823,2956000.0
7,Australia,0.0,5.1720500000000005,27.0903,0.0,1.1132499999999999,0.7884,0.50735,0.4526,13.03415,7.325550000000001,0.05840000000000001,0.2628,1.4527,0.029200000000000004,0.11315,0.047450000000000006,0.8906,0.0,0.0,1.81405,22.8782,0.2409,29.090500000000002,0.11050710569232,0.0035295488079521,0.100062126271647,0.0069154306127203,25754000.0
8,Austria,0.0,15.64025,33.8647,0.0,1.4964999999999997,1.4782499999999998,0.5183,0.27375,9.8696,6.26705,0.0,0.09125,1.38335,0.014600000000000002,0.12410000000000002,0.05474999999999999,0.5402,0.0,0.0,1.022,21.823349999999998,0.24820000000000003,26.988099999999996,4.07124747588064,0.0702378281355172,3.75702266098272,0.243986986762396,8914000.0
9,Azerbaijan,0.0,3.35435,13.81525,0.0,2.3433,0.8686999999999999,0.09125,0.2555,5.1611,4.26685,0.007300000000000001,0.06935000000000001,0.0803,0.01095,0.007300000000000001,0.07300000000000001,0.58765,0.0,0.0,0.9709,3.07695,0.28105,7.690550000000001,2.16700633161852,0.026414721013059,1.86268302334784,0.277908587257618,10108000.0
10,Bahamas,0.0,2.3870999999999998,15.82275,0.0,1.90165,0.6716,0.78475,0.47085000000000005,9.15785,2.6864,0.18615,0.13505,1.3651000000000002,0.01095,0.14235,0.018250000000000002,0.48910000000000003,0.0,0.0,0.23725,5.3217,0.20804999999999998,10.3514,2.00687022900763,0.0435114503816794,1.58753180661578,0.375826972010178,393000.0
11,Bangladesh,0.0,0.3066,2.4381999999999997,0.0,1.73375,0.3139,0.53655,0.10585,0.45625,0.79935,0.0036500000000000005,0.029200000000000004,0.15695,0.13505,0.2628,0.05474999999999999,0.007300000000000001,0.0036500000000000005,0.0,0.0657,7.347449999999999,0.07665,9.95355,0.302987474162147,0.0044614831958259,0.270101113604108,0.0284248773622128,169809000.0
