,country,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_crops,sugar_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,confirmed,deaths,recovered,active,population
0,Afghanistan,0.01,1.41,67.42,0.0,177.3,1.5,0.25,38.23,8.59,54.19,0.52,1.47,0.5,2.11,0.41,6.29,2.2,0.0,9.64,0.55,3.82,48.34,289.89,0.132362309905466,0.0056283394985614,0.1071901972873,0.0,38928000.0
1,Albania,42.15,3.42,473.16,0.0,145.76,14.66,5.36,171.08,47.51,396.34,2.83,5.86,23.64,6.0,0.02,45.62,2.66,0.0,38.74,3.82,8.22,296.86,787.33,2.05482734319944,0.0416138125440451,1.18513037350247,0.828083157152925,2838000.0
2,Algeria,4.33,0.45,153.89,0.0,218.56,8.43,3.86,101.92,18.06,121.71,2.67,1.39,5.58,7.64,0.89,66.04,3.54,0.0,29.3,1.84,16.47,186.08,644.82,0.225211353337692,0.0062267511328538,0.151937687399959,0.0670469148048786,44357000.0
3,Angola,66.33,0.64,56.27,0.0,104.01,0.67,20.22,68.52,23.49,9.49,1.33,1.77,4.78,7.43,0.01,206.8,0.58,0.0,21.12,0.07,7.38,26.31,514.68,0.0540188180308714,0.0012453108664903,0.0342721849824734,0.0185013221819076,32522000.0
4,Antigua and Barbuda,45.29,0.11,210.99,0.0,75.93,2.88,52.54,136.07,72.04,80.62,9.04,2.81,2.75,2.33,1.93,18.39,1.98,0.0,49.07,0.32,10.26,69.01,421.99,0.162244897959184,0.0051020408163265,0.151020408163265,0.0061224489795918,98000.0
5,Argentina,66.28,3.47,300.48,0.0,130.63,15.5,7.29,93.87,109.38,158.94,0.0,5.87,0.18,0.82,0.19,47.25,6.8,0.0,47.43,0.31,14.82,67.57,476.16,3.5912334442559,0.0954646627145911,3.14405095092227,0.351717830619036,45377000.0
6,Armenia,8.08,3.69,273.02,0.0,146.9,11.64,5.83,122.76,45.64,200.09,4.74,6.12,1.81,2.9,0.11,40.98,3.75,0.0,53.5,2.23,9.47,336.18,733.39,5.40385656292287,0.0956698240866035,4.84962787550744,0.458558863328823,2956000.0
7,Australia,100.54,5.7,388.43,0.06,99.71,8.03,25.87,75.96,121.6,219.48,9.6,7.69,6.7,0.99,0.83,50.57,5.31,0.0,46.0,5.76,23.21,93.23,518.34,0.11050710569232,0.0035295488079521,0.100062126271647,0.0069154306127203,25754000.0
8,Austria,130.83,15.94,364.56,0.02,115.74,14.69,14.09,85.84,87.22,230.63,0.01,1.96,5.0,0.85,0.92,56.92,7.65,0.0,48.62,4.41,15.11,95.21,567.07,4.07124747588064,0.0702378281355172,3.75702266098272,0.243986986762396,8914000.0
9,Azerbaijan,56.98,4.03,184.42,0.0,207.36,8.86,3.2,76.02,34.08,131.82,0.23,2.43,0.23,0.55,0.07,74.52,0.93,0.0,24.59,3.02,3.54,159.61,607.65,2.16700633161852,0.026414721013059,1.86268302334784,0.277908587257618,10108000.0
10,Bahamas,22.82,0.07,129.76,0.01,42.13,7.07,27.31,150.12,67.04,24.61,33.16,3.64,7.91,0.57,1.0,11.93,1.76,0.0,70.3,0.56,5.78,87.83,435.74,2.00687022900763,0.0435114503816794,1.58753180661578,0.375826972010178,393000.0
11,Bangladesh,0.03,0.15,50.05,0.0,287.28,2.85,24.31,27.62,4.04,18.1,0.19,0.61,0.79,6.81,3.08,51.45,0.51,1.88,8.95,0.9,7.34,35.09,431.85,0.302987474162147,0.0044614831958259,0.270101113604108,0.0284248773622128,169809000.0
