,country,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_crops,sugar_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,confirmed,deaths,recovered,active,population
0,Afghanistan,0.0,0.01095,3.85075,0.0,14.205800000000002,0.1606,0.025550000000000003,0.22995000000000002,1.2373500000000002,2.1827,0.018250000000000002,0.23360000000000003,0.0803,0.49275,0.0657,0.07665,0.21899999999999997,0.0,0.0,0.05474999999999999,0.0,0.44895,15.892100000000001,0.132362309905466,0.0056283394985614,0.1071901972873,0.0,38928000.0
1,Albania,0.1606,0.06205000000000001,24.214100000000002,0.0,12.42095,1.5768,0.5475,1.1132499999999999,6.68315,14.37735,0.047450000000000006,0.96725,0.32485,1.2702,0.0,0.7737999999999999,0.22995000000000002,0.0,0.0036500000000000005,0.23360000000000003,0.007300000000000001,2.8324,19.42165,2.05482734319944,0.0416138125440451,1.18513037350247,0.828083157152925,2838000.0
2,Algeria,0.0219,0.0036500000000000005,9.38415,0.0,18.0164,0.8759999999999999,0.4306999999999999,0.7884,2.3798,5.4677,0.09490000000000001,0.22265,0.12410000000000002,1.7301000000000002,0.12045,0.9928000000000001,0.3139,0.0,0.0,0.18615,0.018250000000000002,2.12065,24.531649999999996,0.225211353337692,0.0062267511328538,0.151937687399959,0.0670469148048786,44357000.0
3,Angola,0.24820000000000003,0.01095,6.015200000000001,0.0,8.0519,0.06935000000000001,2.14985,0.5036999999999999,3.01125,0.4526,0.036500000000000005,0.3212,0.85045,1.6133000000000002,0.0,2.0513,0.04015,0.0,0.0036500000000000005,0.0036500000000000005,0.0036500000000000005,0.3212,13.734950000000001,0.0540188180308714,0.0012453108664903,0.0342721849824734,0.0185013221819076,32522000.0
4,Antigua and Barbuda,0.09125,0.07665,19.731900000000003,0.0,6.2488,0.28835,4.8837,0.7482499999999999,9.552050000000001,4.42015,0.1752,0.50735,0.45625,0.5256,0.20440000000000003,0.27740000000000004,0.24455000000000002,0.0,0.0,0.0438,0.025550000000000003,0.95265,9.99735,0.162244897959184,0.0051020408163265,0.151020408163265,0.0061224489795918,98000.0
5,Argentina,0.12775,0.007300000000000001,23.97685,0.0,10.249199999999998,1.5439500000000002,0.7665000000000001,0.39055,16.2133,4.3727,0.0,1.0731,0.007300000000000001,0.1825,0.0219,0.98185,0.72635,0.0,0.0036500000000000005,0.03285,0.0,0.7884,13.508650000000001,3.5912334442559,0.0954646627145911,3.14405095092227,0.351717830619036,45377000.0
6,Armenia,0.029200000000000004,0.10220000000000001,16.26805,0.0,12.990350000000001,1.2483,0.6278,0.79205,6.059,7.135750000000001,0.07665,1.095,0.18615,0.6533500000000001,0.01095,0.6533500000000001,0.3942,0.0,0.0036500000000000005,0.15695,0.014600000000000002,3.3142,19.275650000000002,5.40385656292287,0.0956698240866035,4.84962787550744,0.458558863328823,2956000.0
7,Australia,0.22995000000000002,0.05840000000000001,26.0245,0.0036500000000000005,8.6286,0.8613999999999998,2.2557,0.40880000000000005,14.859150000000001,6.65395,0.17155,1.3359,0.55115,0.2117,0.09490000000000001,0.78475,0.5548000000000001,0.0,0.0,0.6095499999999999,0.036500000000000005,1.1461,13.432,0.11050710569232,0.0035295488079521,0.100062126271647,0.0069154306127203,25754000.0
8,Austria,0.48545,0.26644999999999996,23.681199999999997,0.0,10.3806,1.6936,1.4490500000000002,0.49275,10.77845,9.0739,0.0,0.41975,1.18625,0.18980000000000002,0.10585,0.8249,0.57305,0.0,0.01095,0.28105,0.051100000000000007,1.2045,15.786249999999999,4.07124747588064,0.0702378281355172,3.75702266098272,0.243986986762396,8914000.0
9,Azerbaijan,0.23360000000000003,0.04015,10.99015,0.0,19.0238,0.949,0.3285,0.37960000000000005,4.6209,4.61725,0.029200000000000004,0.43434999999999996,0.036500000000000005,0.12045,0.007300000000000001,1.1899,0.15695,0.0,0.0,0.22995000000000002,0.014600000000000002,1.2884499999999999,22.7176,2.16700633161852,0.026414721013059,1.86268302334784,0.277908587257618,10108000.0
